Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fats,Polysaturated Fats,Saturated Fats,Lipids,Calcium,Copper,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
Cheese,Blue,1004,0,74,0,2.34,75,15.4,0,0,0,1.016,21.4,192,0.382,14.5,0.5,0.029,42.41,7.778,0.8,18.669,28.74,528,0.04,0.31,23,387,256,1146,2.66,198,1.22,0.166,0,0.25,2.4
Cheese,Brie,1006,0,9,0,0.45,100,15.4,0,0,0,0.38,20.75,173,0.52,14.5,0.45,0.07,48.42,8.013,0.826,17.41,27.68,184,0.019,0.5,20,188,152,629,2.38,174,1.65,0.235,0,0.24,2.3
Cheese,Camembert,1007,0,12,0,0.46,72,15.4,0,0,0,0.63,19.8,240,0.488,14.5,0.46,0.028,51.8,7.023,0.724,15.259,24.26,388,0.021,0.33,20,347,187,842,2.38,241,1.3,0.227,0,0.21,2
Cheese,Cheddar ,1009,0,0,0,2.44,100,16.5,0,0,0,0.052,23.3,316,0.441,28.3,0.33,0.029,36.6,7.44,1.18,19.2,34,707,0.033,0.16,26,458,77,654,3.67,316,1.06,0.069,0,0.75,2.4
Cheese,Colby,1011,0,82,0,2.57,95,15.4,0,0,0,0.093,23.76,257,0.375,14.5,0.52,0.015,38.2,9.28,0.953,20.218,32.11,685,0.042,0.76,26,457,127,604,3.07,264,0.83,0.079,0,0.28,2.7
Cheese,Cottage,1012,0,12,0,3.38,17,18.4,0,0,0,0.099,11.12,36,0.163,9.7,2.67,0.027,79.79,0.778,0.123,1.718,4.3,83,0.029,0.07,8,159,104,315,0.4,37,0.43,0.046,0,0.08,0
Cheese,Cream Cheese,1017,1,59,2,5.52,101,26.8,0,7,0,0.091,6.15,303,0.23,8.6,3.76,0.023,52.62,8.907,1.483,20.213,34.44,97,0.018,0.11,9,107,132,314,0.5,308,0.22,0.056,0,0.86,2.1
Cheese,Feta,1019,0,3,0,3.88,89,15.4,0,0,0,0.991,14.21,125,0.844,15,0,0.154,55.22,4.623,0.591,13.3,21.49,493,0.032,0.65,19,337,62,1139,2.88,125,1.69,0.424,0,0.18,1.8
Cheese,Gouda,1022,0,10,0,2.22,114,15.4,0,0,0,0.063,24.94,164,0.334,14.5,2.22,0.03,41.46,7.747,0.657,17.614,27.44,700,0.036,0.24,29,546,121,819,3.9,165,1.54,0.08,0,0.24,2.3
Cheese,Gruyere,1023,0,33,0,0.36,110,15.4,0,0,0,0.106,29.81,268,0.279,14.5,0.36,0.06,33.19,10.043,1.733,18.913,32.34,1011,0.032,0.17,36,605,81,714,3.9,271,1.6,0.081,0,0.28,2.7
Cheese,Limburger,1024,0,15,0,0.49,90,15.4,0,0,0,0.158,20.05,339,0.503,14.5,0.49,0.08,48.42,8.606,0.495,16.746,27.25,497,0.021,0.13,21,393,128,800,2.1,340,1.04,0.086,0,0.23,2.3
Cheese,Monterey,1025,0,78,0,0.68,89,15.4,0,0,0,0.093,24.48,192,0.39,14.5,0.5,0.015,41.01,8.751,0.899,19.066,30.28,746,0.032,0.72,27,444,81,600,3,198,0.83,0.079,0,0.26,2.5
Cheese,Mozzarella,1029,0,0,0,4.44,65,13.5,0,0,0,0.101,23.7,203,0.36,26.7,1.81,0.023,47.7,4.65,0.744,11.7,20.4,693,0.035,0.2,27,533,116,699,3.62,203,1.65,0.09,0,0.51,1.3
Cheese,Muenster,1030,0,13,0,1.12,96,15.4,0,0,0,0.103,23.41,297,0.32,14.5,1.12,0.013,41.77,8.711,0.661,19.113,30.04,717,0.031,0.41,27,468,134,628,2.81,298,1.47,0.056,0,0.26,2.5
Cheese,Parmesan,1032,0,0,0,12.4,87,14.1,0,0,0,0.078,29.6,228,0.345,35,0.07,0.027,22.8,6.4,1.2,15.5,28,884,0.04,0.45,34,634,184,1750,4.33,228,1.35,0.081,0,0.51,1.7
Cheese,Provolone,1035,0,68,0,2.14,69,15.4,0,0,0,0.156,25.58,230,0.321,14.5,0.56,0.019,40.95,7.393,0.769,17.078,26.62,756,0.026,0.52,28,496,138,727,3.23,236,1.46,0.073,0,0.23,2.2
Cheese,Ricotta,1036,0,0,0,6.86,48,17.5,0,0,0,0.168,7.81,127,0.327,5.5,0.27,0.043,72.9,2.56,0.389,6.97,11,224,0,0.1,19,162,230,105,0.56,127,0.78,0.099,0,0.27,0.6
Cheese,Swiss,1040,1,60,2,1.44,93,13.8,0,8,1,0.06,27,287,0.303,30.1,0,0.011,37.6,7.26,1.14,18.2,31,890,0.047,0.13,33,574,71,185,4.37,292,3.02,0.07,0,0.6,1.4
Salad dressing,Mayonnaise Dressing,4013,0,30,0,15.8,0,9,2,27,0,0.01,0.2,0,0,2.6,6.8,0.008,81.8,0,0,0,0,6,0.019,0.1,2,27,50,750,0.07,2,0,0.002,0,2.19,0
Salad dressing,Russian dressing,4015,2,320,49,31.9,0,4.6,0.7,173,3576,0.594,0.69,0,0.046,1.6,17.68,0.029,38.53,5.928,14.83,2.39,26.18,13,0.058,0.6,10,20,173,1133,0.22,29,0,0.097,6,3.32,53.7
Salad dressing,Sesame seed dressing,4016,0,21,2,8.6,0,4,1,0,16,0,3.1,0,0,1.6,8.32,0,39.2,11.9,25.1,6.2,45.2,19,0,0.6,0,37,157,1000,0.1,2,0,0,0,5,56
Salad dressing,Thousand Island,4017,2,92,52,14.64,26,4.6,0.8,29,2597,0.418,1.09,4,0.058,1.5,15.18,1.445,46.51,7.881,18.22,5.092,35.06,17,0,1.18,8,27,107,962,0.26,14,0,0,0,4,69.1
Salad dressing,French dressing,4020,0,289,70,31.22,0,4,1.5,124,2530,0.467,0.58,0,0.052,1.6,16.86,0.024,54.28,4.518,3.852,0.842,11.52,11,0.16,0.73,8,16,107,838,0.2,27,0,0.055,4.8,1,17.8
Salad dressing,Italian dressing,4021,0,7,0,9.99,0,3.3,0,0,0,0.094,0.39,0,0.008,1.6,9.16,0.012,80.11,1.725,3.236,0.833,6.68,15,0.019,0.25,4,12,90,891,0.06,1,0,0.055,0,4.28,12.5
