Nutrient,Value,Url
Alpha Carotene,"Alpha Carotene act as antioxidants, fighting against the damage caused by oxidation, which plays a role in the development of cardiovascular diseases and cancers.",https://www.fondation-louisbonduelle.org/en/2016/10/13/alpha-carotene-or-the-secret-to-longevity/
Beta Carotene,"In the body, beta-carotene converts into vitamin A (retinol). We need vitamin A for good vision and eye health, for a strong immune system, and for healthy skin and mucous membranes.",https://www.mountsinai.org/health-library/supplement/beta-carotene
Beta Cryptoxanthin,"Beta-cryptoxanthin has several functions that are important for human health, including roles in antioxidant defense and cell-to-cell communication. Most importantly, beta-cryptoxanthin is a precursor of vitamin A, which is an essential nutrient needed for eyesight, growth, development and immune response.",https://pubmed.ncbi.nlm.nih.gov/25270992/
Carbohydrate,"Carbohydrates are one of the three macronutrients in our diet with their main function being to provide energy to the body. They occur in many different forms, like sugars and dietary fibre, and in many different foods, such as whole grains, fruit and vegetables. ",https://www.eufic.org/en/whats-in-food/article/the-basics-carbohydrates
Cholesterol,"Cholesterol enables animal cells to dispense with a cell wall (to protect membrane integrity and cell viability), thereby allowing animal cells to change shape and animals to move (unlike bacteria and plant cells, which are restricted by their cell walls). Since all animal cells manufacture cholesterol, all animal-based foods contain cholesterol in varying amounts.",
Choline,A water-soluble vitamin. Humans make choline in the liver.,
Fiber,Dietary fiber or roughage is the indigestible portion of food derived from plants. It has two main components: soluble fiber and insoluble fiber.,
Lutein and Zeaxanthin,"Lutein is synthesized only by plants and like other xanthophylls is found in high quantities in green leafy vegetables such as spinach, kale and yellow carrots. Zeaxanthin is one of the most common carotenoid alcohols found in nature. It is important in the xanthophyll cycle.",
Lycopene,"Lycopene is a bright red carotene and carotenoid pigment and phytochemical found in tomatoes and other red fruits and vegetables, such as red carrots, watermelons, gac, and papayas, although not in strawberries, or cherries.",
Niacin,"Also known as vitamin B3 and nicotinic acid, is an organic compound with the formula C6H5NO 2 and, depending on the definition used, one of the 20 to 80 essential human nutrients.",
Protein,"Proteins are essential nutrients for the human body. They are one of the building blocks of body tissue, and can also serve as a fuel source. As a fuel, proteins provide as much energy density as carbohydrates: 4 kcal (17 kJ) per gram; in contrast, lipids provide 9 kcal (37 kJ) per gram. There are nine essential amino acids which humans must obtain from their diet in order to prevent protein-energy malnutrition and resulting death. Humans need the essential amino acids in certain ratios.",
Retinol,"Retinol, also known as Vitamin A1, is a vitamin found in food and used as a dietary supplement. As a supplement it is used to treat and prevent vitamin A deficiency.",
Riboflavin,"Riboflavin, also known as vitamin B2, is a vitamin found in food and used as a dietary supplement. It is nearly always well tolerated. Normal doses are safe during pregnancy. Riboflavin is in the vitamin B group. It is required by the body for cellular respiration.",
